url,昵称,标题,性别,回答数目,关注者,文章,描述
https://www.zhihu.com/people/antonia/following,安东妮,浪漫被推翻 浪漫被解散,女,48,1473,0,
https://www.zhihu.com/people/yi-tai-chuang-fu/following,以太创服,以太创服 —— 推动创新 全方位服务创投行业的融资服务机构,男,195,96992,129,
https://www.zhihu.com/people/ying-shi-quan-za-zhi/following,影视圈杂志,专业做媒体，认真做娱乐。,男,98,189518,321,
https://www.zhihu.com/people/wei-xiu-shen/following,魏秀参,,男,55,12851,12,
https://www.zhihu.com/people/yan-hao-74/following,闫浩,正在训练如何少说话。,男,19,28947,63,
https://www.zhihu.com/people/changfan/following,周昶帆,成长话题 and 科技控,男,196,20948,169,
https://www.zhihu.com/people/du-mu-yu/following,杜暮雨,前36Kr作者，在学习风险投资,男,17,390,0,
https://www.zhihu.com/people/jing-shu-73-69/following,鲸书,游戏人间的小可爱。,女,21,26641,27,
https://www.zhihu.com/people/xziar/following,XZiar,这个知乎很烂，我什么也没法留下。,女,818,1189,8,
https://www.zhihu.com/people/ceciliacat/following,Cecilia,育儿微信：萌妈小教室,女,139,31077,19,
https://www.zhihu.com/people/tombkeeper/following,tombkeeper,贝利亚同志，而您又是在说谁呢？,男,575,94237,2,
https://www.zhihu.com/people/zhang_lei/following,张十三,赞都点了，亲不再加个关注吗 ヽ(^o^)丿,男,217,17459,1671,
https://www.zhihu.com/people/pt195/following,Pt.wang,半次元ceo | 傻白甜,男,206,4543,12,
https://www.zhihu.com/people/briansun/following,堂主,不为苟且得意。不为黑暗辩护。,男,1361,63503,64,
https://www.zhihu.com/people/zoubo/following,邹波,内容创业者,男,388,16495,29,
https://www.zhihu.com/people/howiemovie/following,howie影话,影评人 / 媒体工作者,男,13,5597,0,
https://www.zhihu.com/people/xhtlj/following,小红拖拉机,找饭 Job_Fun,男,130,132266,30,
https://www.zhihu.com/people/ersagsethgrweh/following,Tony,程序猿，比特币玩家,女,17,470,0,
https://www.zhihu.com/people/healsai/following,healsai,"Hi, you have reached Miss Mediocrity.",女,1,90,0,
https://www.zhihu.com/people/xiao-zhu-5-56/following,黄璐小猪,演员,女,2,2491,1,
https://www.zhihu.com/people/spiritmax/following,陈兔虫,Philosoflying Kid，DocuFilmmaker，导演,男,52,18846,3,
https://www.zhihu.com/people/liu-zheng-82-6/following,刘征-前制片人,制片人 影视民工,男,90,2144,0,
https://www.zhihu.com/people/wang-hao-17-43/following,王大蜗蜗牛,喜欢历史的吃瓜群众。业余书法爱好者。炉石传说低保困难户。基层小法医。,男,115,31515,4,
https://www.zhihu.com/people/xin_zou/following,邹昕,互联网数据分析,男,104,66492,12,
https://www.zhihu.com/people/liu-si-jia-54-5/following,斯丢匹德,梧桐垃圾灰尘和各式各样的杂货店,男,243,15085,0,
https://www.zhihu.com/people/wu-su-mei/following,吴苏媚,专门玩的。,男,,50,0,
https://www.zhihu.com/people/li-hai-peng/following,李海鹏,,男,16,12344,0,
https://www.zhihu.com/people/deng-ke/following,邓科,注视世界的真面目并且爱世界,男,13,569,0,
https://www.zhihu.com/people/shenliang/following,沈亮,南方周末时政记者,男,15,1153,0,
https://www.zhihu.com/people/ceng-zi-nan/following,曾子楠,一个码字、说话的人。,女,12,183,0,
https://www.zhihu.com/people/imike/following,张亮,"Stay lucky, stay happy!",男,1462,833256,114,
https://www.zhihu.com/people/wuda/following,吴达,我为社团显本领,男,187,16027,1,
https://www.zhihu.com/people/sujingjohnny/following,苏静,HELLBOY,男,30,66667,0,
